position,queue,job,job_status,number,name,version,context,user,post_job
,6,LCREOQUEUE,,READY,53916094.DRW,DECAL;BATTERY EXPLOSION HAZARD,01.2,CMP-Asphalt,Pagnotta Fran
,5,LCREOQUEUE,,READY,56841310.DRW,CONNECTOR BACKSHELL;NTSEAL 20-POS;W/NOTCH,01.2,CMP-Soil,Filip Brajovic
,4,LCREOQUEUE,,READY,53916092.DRW,DECAL;WARNING-NO RIDER,01.2,CMP-Asphalt,Pagnotta Fran
,3,LCREOQUEUE,,READY,53916085.PRT,DECAL;UREA TANK ADBLUE/DEF;FRENCH,01.2,CMP-Asphalt,Pagnotta Fran
,2,LCREOQUEUE,,READY,53916085.DRW,DECAL;UREA TANK ADBLUE/DEF;FRENCH,01.2,CMP-Asphalt,Pagnotta Fran
,1,MCREOQUEUE,,READY,56841310.DRW,CONNECTOR BACKSHELL;NTSEAL 20-POS;W/NOTCH,01.2,CMP-Soil,Filip Brajovic
,1,MOFFICEQUEUE,,READY,56173434,RA40 Stage V 1.1 ROKA1308P00181011,01.3,MWL_Tech_Department_Documents,Robbie Anderson
